ID,Link,Text,Domain,SnapShot,Tags
,http://bme.ust.hk/,Division of Biomedical Engineering,bme.ust.hk,bme.ust.hk^.jpg,
,http://www.envr.ust.hk/,Division of Environment,www.envr.ust.hk,www.envr.ust.hk^.jpg,
,http://life-sci.ust.hk/,Division of Life Science,life-sci.ust.hk,life-sci.ust.hk^.jpg,
,http://www-chem.ust.hk/,Department of Chemistry,www-chem.ust.hk,www-chem.ust.hk^.jpg,
,http://www.math.ust.hk/,Department of Mathematics,www.math.ust.hk,www.math.ust.hk^.jpg,
,http://physics.ust.hk/,Department of Physics,physics.ust.hk,physics.ust.hk^.jpg,
,http://www.ceng.ust.hk/,Department of Chemical and Biomolecular Engineering,www.ceng.ust.hk,www.ceng.ust.hk^.jpg,
,http://www.ce.ust.hk/,Department of Civil and Environmental Engineering,www.ce.ust.hk,www.ce.ust.hk^.jpg,
,http://www.cse.ust.hk/,Department of Computer Science and Engineering,www.cse.ust.hk,www.cse.ust.hk^.jpg,
,http://www.ece.ust.hk/,Department of Electronic and Computer Engineering,www.ece.ust.hk,www.ece.ust.hk^.jpg,
,http://www.ielm.ust.hk/,Department of Industrial Engineering and Logistics Management,www.ielm.ust.hk,www.ielm.ust.hk^.jpg,
,http://www.me.ust.hk/,Department of Mechanical Engineering,www.me.ust.hk,www.me.ust.hk^.jpg,
,http://www.bm.ust.hk/~acct/,Department of Accounting,www.bm.ust.hk,www.bm.ust.hk^~acct^.jpg,
,http://www.bm.ust.hk/~econ/,Department of Economics,www.bm.ust.hk,www.bm.ust.hk^~econ^.jpg,
,http://www.bm.ust.hk/~fina/,Department of Finance,www.bm.ust.hk,www.bm.ust.hk^~fina^.jpg,
,http://www.bm.ust.hk/~isom/,"Department of Information Systems, Business Statistics and Operations Management",www.bm.ust.hk,www.bm.ust.hk^~isom^.jpg,
,http://www.bm.ust.hk/~mark/,Department of Marketing,www.bm.ust.hk,www.bm.ust.hk^~mark^.jpg,
,http://www.bm.ust.hk/~mgmt/,Department of Management,www.bm.ust.hk,www.bm.ust.hk^~mgmt^.jpg,
,http://huma.ust.hk/,Division of Humanities,huma.ust.hk,huma.ust.hk^.jpg,
,http://www.ust.hk/%7Ewebsosc/,Division of Social Science,www.ust.hk,www.ust.hk^%7Ewebsosc^.jpg,
,http://lc.ust.hk/,Center for Language Education,lc.ust.hk,lc.ust.hk^.jpg,
,http://urao.ust.hk/,Office of Undergraduate Recruitment and Admission,urao.ust.hk,urao.ust.hk^.jpg,
,https://sao.ust.hk/,Student Affairs Office,sao.ust.hk,https^^^sao.ust.hk^.jpg,
